,experimental_agent
0,1804114.0
1,163866.0
2,11671319.0
3,-25321420.0
4,13191897.0
5,11504996.0
6,7414409.0
7,10951909.0
8,1157579.0
9,18447946.0
10,3274204.0
11,14956277.0
12,9885228.0
13,2811932.0
14,12357074.0
15,17130927.0
16,-2514889.0
17,27763258.0
18,18849600.0
19,27394620.0
20,-10660579.0
21,17617360.0
22,8147066.0
23,15676048.0
24,15177061.0
25,9113166.0
26,-16339520.0
27,11659835.0
28,1277765.0
29,18102427.0
30,-7684066.0
31,-1909159.0
32,3335853.0
33,10629002.0
34,11837984.0
35,-1254598.0
36,9409587.0
37,5127981.0
38,7839926.0
39,-37992236.0
40,-10251486.0
41,-71744767.0
42,17308953.0
43,8410220.0
44,-11155883.0
45,-2418467.0
46,11380345.0
47,6323468.0
48,16502608.0
49,-36584270.0
50,13877926.0
51,9896345.0
52,5904666.0
53,18783835.0
54,-3305902.0
55,-10802058.0
56,-55084147.0
57,15503835.0
58,8997170.0
59,-11815204.0
60,-1953990.0
61,-8205901.0
62,5114851.0
63,-12573947.0
64,-3141297.0
65,16906254.0
66,-68497465.0
67,-3894806.0
68,12990120.0
69,4173822.0
70,-23555622.0
71,-82064132.0
72,9257627.0
73,-33137565.0
74,8964001.0
75,20625467.0
76,-15230522.0
77,2286076.0
78,-10458250.0
79,22030017.0
80,-106969323.0
81,-40584351.0
82,2276500.0
83,-14662020.0
84,-9940043.0
85,-23595452.0
86,2793328.0
87,-1660880.0
88,21210099.0
89,-5625678.0
90,13411878.0
91,25471021.0
92,8722640.0
93,10074873.0
94,-1600236.0
95,11511742.0
96,876338.0
97,6869485.0
98,19002457.0
99,17615345.0
100,11884162.0
101,-7724435.0
102,2488306.0
103,12713618.0
104,-1103422.0
105,4960121.0
106,-76279113.0
107,8436241.0
108,-94040887.0
109,11173939.0
110,-15913376.0
111,-14527153.0
112,28066256.0
113,-28105470.0
114,21246941.0
115,-4177568.0
116,-2000700.0
117,15430395.0
118,17622943.0
119,8850411.0
120,-108868659.0
121,16128155.0
122,5929278.0
123,12755590.0
124,-12417501.0
125,-23393979.0
126,1647474.0
127,-382057.0
128,-13955872.0
129,-1098732.0
130,14128705.0
131,10207978.0
132,7249902.0
133,-3270537.0
134,-79581149.0
135,14195508.0
136,14842504.0
137,4460169.0
138,-5688825.0
139,12325788.0
140,-2678626.0
141,-3272324.0
142,15017675.0
143,-18002519.0
144,-28457755.0
145,13568471.0
146,9257902.0
147,10225448.0
148,10558766.0
